question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-D5-011,"A model will be released to a group of users while the remaining users continue on the existing process. The team proposes choosing the first group from one region, because that region's manager is enthusiastic about the change. What should the project manager weigh against that convenience?",Whether the other regions will object to not being included in the first release group,Whether that region has enough users to complete the release within the planned window,Whether that region's manager can take responsibility for the model's outputs,Whether that region's cases represent the conditions the model will meet elsewhere,D,"A first release group is chosen for what its results will tell you, not for who volunteered.",Managing expectations across regions is a real communication task. It does not affect what the first group's results will tell the project.,Group size affects how quickly evidence accumulates. Representativeness determines whether the evidence means anything.,"Accountability for outputs sits with the organisation operating the model, not with whoever hosts the first release.","An enthusiastic group is easier to work with, and a region with atypical cases produces results that do not carry to the rest. The group has to be informative as well as willing.",Operationalize AI Solution,Deployment planning and release strategy,MEDIUM,,,,,,,
CPMAI-D5-012,"Monitoring shows that the mix of incoming records for a live model has shifted markedly over six weeks, although the model's measured accuracy has not yet moved. The team proposes taking no action until accuracy declines. What is the argument for acting on the input shift before then?","Outcomes arrive after the decisions are made, so waiting may expose live decisions before any performance effect becomes observable","An input shift always causes a fall in accuracy, so the decline is certain to follow",The measured accuracy figure is unreliable whenever the input mix has changed,Retraining is cheaper to perform before a decline appears than after one,A,A shift in inputs can precede a performance effect that outcome data will only reveal later.,The input shift is observable now; any accuracy effect becomes measurable only once outcomes for the new mix are known. Waiting concedes that interval to a change whose consequences are not yet visible.,"A model can be insensitive to a shift in fields it depends on weakly, so a decline is a risk rather than a certainty. The case for acting rests on the delay in observing it.","The figure remains a valid measurement of the records it covers. The issue is what it cannot yet cover, not that it is wrong.","Cost may well be similar either way, and the reason to act early is exposure during the delay rather than the price of the work.",Operationalize AI Solution,Drift detection and retraining,HARD,,,,,,,
CPMAI-D5-013,A model's upstream data feed fails and delivers no records. The model has no defined behaviour for that case and returns its default output for every request. Downstream systems accept the results as normal. The project manager is asked what should have been in place. What is the answer?,A second data feed that can be used whenever the first one fails,A behaviour that makes the failure visible rather than returning ordinary-looking output,An alert sent to the data team whenever the upstream feed stops delivering records,A larger cache of recent records that the model can fall back on,B,A system should fail visibly rather than continue producing output that looks ordinary.,"A redundant feed reduces how often the situation arises and is worth considering on cost grounds. If both fail, the silent default behaviour returns.","Silent default output is indistinguishable from real predictions, so the failure propagates unnoticed. Stopping, or marking the output as unavailable, keeps the fault detectable.",Alerting the data team is necessary and addresses the feed. The model would still be serving default output downstream in the meantime.,"Serving from a cache substitutes stale predictions for absent ones, which is a decision to take deliberately rather than a default.",Operationalize AI Solution,"Incident response, rollback and failure handling",MEDIUM,,,,,,,
CPMAI-D5-014,"A model's design is agreed and the build is complete. Two weeks before go-live the project manager reviews the transition plan, which covers training on the new screen and the cutover date. Experienced staff point out several case types they handle today for which the new workflow has no route. What should the project manager settle before go-live?",Proceed as planned and add routes for those case types in a later release,How those case types will be handled in the live workflow from the cutover,"Extended training, so staff understand that the model does not cover those case types","An entry in the project risk log, to be reviewed once the model is operating",B,"A live workflow needs a defined route for every case that will arrive, not only the ones the model handles.","Those cases arrive from the cutover onwards, so deferring the route leaves them unhandled through the period when the transition is most fragile.","The cases will arrive whether or not a route exists. Agreeing where they go, and who handles them, is what allows the workflow to operate from day one.",Knowing the gap exists does not give staff anywhere to send the cases. Awareness is not a route.,"A risk entry records the gap without resolving it, and the cases still arrive on the cutover date.",Operationalize AI Solution,"Adoption, training and change management",MEDIUM,,,,,,,
CPMAI-D5-015,A model is scheduled to run overnight and write its results before the business day begins. The upstream extract it depends on sometimes completes late. The team has not defined what the model should do when the extract is unavailable at its scheduled run time. What should be decided in advance?,"Whether the model waits, runs on the previous extract, or produces nothing, and how users are told",Whether the upstream extract can be guaranteed to complete before the model runs,Whether the model's scheduled run time can be moved later into the night,Whether the results from the previous day can be retained for longer in the system,A,A dependency that can be late needs a defined behaviour before it is late for the first time.,"Each option has a different consequence for the business day. Choosing at the time, under pressure, risks stale results being presented as current with nobody aware.",Such a guarantee is worth pursuing with the upstream owner and cannot be relied on absolutely. A defined behaviour is still needed for the occasions it fails.,A later slot reduces how often the conflict occurs without removing it. The behaviour on failure is still undefined.,Retention decides what remains available. It does not decide what the model does or what users are told.,Operationalize AI Solution,Integration with business processes and systems,MEDIUM,,,,,,,
CPMAI-D5-016,"Operational staff can override a live model's recommendation. Over the first quarter, overrides are recorded as a simple count with no reason captured. The count is rising. The project manager wants to understand what the rise means. What should be changed in how overrides are handled?",Require approval from a supervisor before an override can be recorded,"Remove the override facility, since a rising count suggests it is being misused","Capture the reason for each override, so the pattern behind the rise can be seen",Compare the override count with the count recorded by a similar organisation,C,"An override is evidence about the model, but only if the reason for it is captured.","An approval step suppresses overrides rather than explaining them, and may discourage staff from correcting the model at all.","Nothing indicates misuse, and removing the facility would leave staff unable to correct a wrong recommendation.","A rising count is consistent with a degrading model, a shift in cases, or growing confidence among staff in exercising judgement. Without reasons the three are indistinguishable.","Another organisation's rate reflects its own model, cases and staff. It cannot explain the pattern here.",Operationalize AI Solution,Human oversight and escalation in operation,MEDIUM,,,,,,,
CPMAI-D5-017,"A model is due to be replaced by a new version built by a different vendor. The project manager asks what happens to the current model's prediction history, its monitoring records and the documentation of its limits. The team plans to decommission the current environment entirely once the new model is live. What should be preserved, and why?","The training code, so that the previous model can be rebuilt if the new one underperforms","The monitoring dashboards, so the two models' performance can be compared over time","The vendor contract for the current model, in case the replacement has to be reversed","The prediction and monitoring history together with the model's documented limits, since past operation and decisions may still need to be examined",D,Records of a retired model's past operation may still be needed to examine or explain earlier decisions.,Keeping the code is reasonable insurance for continuity. It does not preserve the record of what was decided and why.,"A dashboard is a view over data. Preserving the underlying records matters, and the dashboard itself does not.",Contract retention is a procurement matter governed by its own rules and unrelated to explaining past decisions.,"Decommissioning removes the ability to show what the model decided and how it behaved while operating. Both can be raised long after it stops running, so the records have to outlive the environment.",Operationalize AI Solution,"Model lifecycle, versioning and retirement",HARD,,,,,,,
CPMAI-D5-018,A model operating in production is owned by the team that built it. That team is being disbanded at the end of the quarter and its members reassigned across the organisation. The model will continue to run. The project manager is asked what must be settled before the team disperses. What is the priority?,Who owns the model in operation once the team no longer exists,That the team documents how the model was built before its members disperse,That the model's code is moved into a repository the organisation controls centrally,That the team's members remain available to answer questions for a handover period,A,"A model in production needs a named owner for as long as it runs, independent of the team that built it.","Monitoring, incidents, retraining and retirement all need somebody accountable. Without a transfer of ownership the model runs with nobody answering for it.",Documentation supports whoever takes over and is worth capturing. It does not appoint anyone to act on it.,Central storage protects the artefact. It does not make anyone responsible for the running service.,A handover period helps a transfer that has been arranged. It is not a substitute for naming an owner.,Operationalize AI Solution,Operational governance and value realisation,MEDIUM,,,,,,,
CPMAI-D5-019,"A project manager is setting up monitoring for a model that has just gone live. The team asks which measures the weekly operational report should carry, beyond confirming that the service is running. Select two.",The number of records the model scored during the week,The version of the software library the model was trained with,Whether the incoming data still resembles the data the model was built on,The total time the team spent on model-related work during the week,"C,E",Operational monitoring covers both what the model receives and what results from what it produces.,Volume describes activity and is useful for capacity planning. It says nothing about whether predictions are sound or useful.,The library version belongs in deployment records. It is fixed between releases and is not a weekly operational measure.,"The model was fitted to a particular kind of input. A shift in what arrives is a leading indicator of degraded predictions, and it is visible immediately.",Effort is a project management measure. It does not indicate how the model is behaving in production.,Operationalize AI Solution,Production monitoring and performance tracking,MEDIUM,,,,Whether the outcomes the model was meant to improve are moving as expected,,"The model was deployed to change a business result. Tracking that result is what shows the deployment is delivering, rather than merely operating.",
CPMAI-D5-020,A project manager is assembling the go-live checklist for a model that will support credit decisions. The team has supplied the evaluation results and the deployment scripts. Which further items should the checklist require before the model serves any live decision? Select two.,A record of the algorithms the team considered before selecting this one,A defined signal that tells the team the model is not behaving as expected,Confirmation that the model scores a record faster than the previous manual process,A schedule for the next model version's development work,"B,E","Readiness covers noticing a problem and undoing it, not only the quality of the model itself.",Recording the candidates supports the development history. It has no bearing on whether live decisions can be made safely.,"Without an agreed signal, a fault in production is found only when someone notices an odd decision. The signal is what converts a problem into something the team can act on.","Speed against the manual process is a benefit case, not a readiness control. A fast wrong decision is still a wrong decision.",Forward planning is useful for the roadmap. It contributes nothing to whether this release can go live safely.,Operationalize AI Solution,Deployment planning and release strategy,MEDIUM,,,,A tested route to return to the previous state,,"A route back has to be exercised before it is needed. An untested rollback discovered during an incident is an assumption, not a control.",
CPMAI-D5-021,"A team proposes retraining a live model on a fixed monthly schedule, regardless of how it is performing. The project manager asks what the schedule is based on and is told it was chosen because monthly is convenient for the team's release calendar. What should the project manager establish instead?",Whether the team has capacity to retrain more frequently than once a month,Whether a monthly cycle matches the retraining cadence used by comparable organisations,Whether monthly retraining will produce a measurable accuracy gain each time it runs,"How quickly the conditions the model depends on actually change, and what the monitoring shows",D,"A retraining cadence should follow how quickly the conditions change, not the release calendar.",Capacity constrains what is achievable once the right cadence is known. It does not establish what the right cadence is.,Another organisation's cadence reflects its own rate of change and its own model. It is not evidence about this one.,Requiring a gain every cycle would rule out retraining that correctly leaves a stable model unchanged.,"Retraining too rarely leaves the model stale between cycles, and retraining too often spends effort and introduces change for no gain. The rate the underlying conditions move is what sets the interval.",Operationalize AI Solution,Drift detection and retraining,MEDIUM,,,,,,,
CPMAI-D5-022,A model has been reverted after a fault. The team wants to redeploy the corrected version the same day to recover the lost benefit. The corrected version has been tested against the case that caused the fault. The project manager must decide whether to approve the redeployment. What should weigh most?,Whether the benefit lost during the outage justifies redeploying on the same day,Whether the operational users have been informed that a corrected version is coming,Whether the fix has been tested beyond the single case that failed,Whether the team has capacity to monitor the redeployment closely for the rest of the day,C,A fix verified only against the case that failed has not been shown to be safe for the rest.,"Lost benefit creates pressure to move quickly, but that pressure does not establish that the corrected version is safe to redeploy.",Informing users is part of managing the incident and does not bear on whether the fix is sound.,A change that resolves one case can disturb others. Redeploying on the strength of one test risks a second incident on top of the first.,Close monitoring is a sensible condition of any redeployment. It detects a repeat rather than establishing the fix is safe.,Operationalize AI Solution,"Incident response, rollback and failure handling",HARD,,,,,,,
CPMAI-D5-023,"A model's output will be used by a team that works across three shifts. Training has been scheduled as a single session during the day shift, and the recording will be made available to the others. The project manager is asked whether this is adequate. What is the concern?",A recording will be longer than the time those shifts can spare during their work,Two shifts get no opportunity to ask questions about their own cases,The recording may not capture the screen clearly enough for staff to follow,Staff on other shifts may watch the recording at different times from each other,B,Staff who only receive a recording have no way to raise the questions that block adoption.,Duration is the same for every shift and can be managed through scheduling.,A recording conveys the material but gives those shifts no opportunity to raise questions about the cases they encounter.,Recording quality is a production detail that is straightforward to get right.,Staggered viewing is normal and is not in itself a problem.,Operationalize AI Solution,"Adoption, training and change management",EASY,,,,,,,
CPMAI-D5-024,"A model recommends stock transfers between warehouses. It went live three months ago and its recommendations have been accurate. A review finds that warehouse staff act on about one recommendation in five, because acting requires a transport booking that must be made two days ahead and the model runs the same morning. What should the project manager address?",The timing of the model's output against the lead time the resulting action needs,"The accuracy of the recommendations, since staff are evidently not persuaded by them",The training given to warehouse staff on how to interpret the model's recommendations,The incentives for warehouse staff to act on the recommendations they receive,A,A correct prediction delivers nothing if the process cannot act within the time the action requires.,"The recommendation is sound but arrives inside the booking window, so most cannot be acted on. Moving the run earlier, or shortening the booking lead time, is what converts accuracy into benefit.","Accuracy is not in question and the review shows the obstacle is the booking lead time, not scepticism about the recommendations.",Training helps where understanding is the barrier. Here staff understand the recommendation and cannot act on it in time.,Incentives address unwillingness. The constraint described is a scheduling conflict that no incentive resolves.,Operationalize AI Solution,Integration with business processes and systems,HARD,,,,,,,
CPMAI-D5-025,"An agreed human-oversight requirement for a live model states that operators must be given the basis of each recommendation and the conditions in which the model is known to be weaker. The deployed interface presents a recommendation and a confidence figure, and nothing else. Operators say they cannot tell when to rely on it. What operational gap must be corrected?","A higher confidence threshold, below which no recommendation is shown to the operator",The interface does not deliver the basis of recommendations or the known weak conditions the requirement specifies,Training for operators on how confidence figures are calculated by the model,A record of how often operators have followed recommendations at each confidence level,B,A confidence figure alone does not show what drove a recommendation or where the model is known to be weaker.,Suppressing low-confidence cases leaves the operator with no support on exactly the cases that are hardest.,"The requirement was agreed and the deployment does not meet it. Operators receive a number without the factors behind it or the conditions under which it should be doubted, which is what the requirement calls for.","Understanding how the figure is calculated does not reveal which factors drove a particular case, nor where the model is known to be weaker.",Historical follow rates describe operator behaviour. They do not help an operator judge the case in front of them.,Operationalize AI Solution,Human oversight and escalation in operation,MEDIUM,,,,,,,
CPMAI-D5-026,A model has been running for two years. The business process it supported has been redesigned and the decision the model informs is no longer taken. The model continues to run and write its output to a table. The team has left it in place because removing it was never requested. What should the project manager do?,"Leave it running, since it costs little and may be useful if the process changes again","Stop the model immediately, since the decision it informed is no longer taken","Plan its retirement, confirming first that nothing still consumes the output",Repoint the model at the redesigned process so that its output remains useful,C,"A model with no consumer still carries cost and risk, so retirement is a decision to take deliberately.","A dormant model drifts further from current conditions while nobody monitors it, so reuse later would be unsafe without rebuilding.",Stopping without checking risks breaking a consumer that adopted the output without the team's knowledge.,"An unused model consumes compute, holds data and can be picked up by a consumer nobody expects. Retiring it deliberately, after checking for consumers, removes that exposure.","The redesigned process may need something quite different, so this assumes a fit that has not been established.",Operationalize AI Solution,"Model lifecycle, versioning and retirement",MEDIUM,,,,,,,
CPMAI-D5-027,"A live model's agreed conditions of use state that it must not be applied to a particular customer segment. A project manager reviewing operations finds no check anywhere in the system that would prevent such a case being scored, and no record of whether any have been. What should be put in place?",A reminder to operational staff that the model must not be used for that segment,A periodic audit that samples scored cases to check whether any fall in that segment,A clause in the model documentation restating the condition more prominently,"A check that enforces the limit, and a record of cases it stops",D,A stated limit is a control only when something enforces it and records what happened.,"A reminder relies on people remembering and noticing, and leaves no record of what occurred.",Sampling after the fact may detect breaches that have already happened and does not prevent them.,Restating a condition more visibly does not create anything that acts on it.,"A condition written in a document constrains nobody. Enforcement prevents the case being scored, and the record shows whether the limit is being approached.",Operationalize AI Solution,Operational governance and value realisation,MEDIUM,,,,,,,
CPMAI-D5-028,A project manager wants the monitoring for a live fraud model to raise an alert when something needs attention. The team proposes alerting whenever the daily fraud rate differs from the previous day. In a trial week this produced alerts on six days out of seven. What is the problem with the proposed rule?,It compares against the previous day rather than against the same day of the previous week,It monitors the fraud rate rather than the model's precision and recall,It produces alerts without saying which team member is responsible for responding,"It fires on ordinary day-to-day variation, creating too many alerts to distinguish meaningful changes",D,An alert threshold that reacts to ordinary variation creates noise and can cause meaningful alerts to be overlooked.,Comparing like days removes weekday effects and is a sensible refinement. The rule would still fire on ordinary variation within the comparison.,"Monitoring outcome measures alongside the rate would strengthen the picture. The defect described is the threshold, which would behave the same way on any measure.",Assigning an owner is necessary for a response process. It does not stop the alert firing when nothing is wrong.,"Daily rates fluctuate for ordinary reasons, so a rule triggered by any difference alerts on nearly every day. Genuine changes then sit among alerts the team has learned to pass over.",Operationalize AI Solution,Production monitoring and performance tracking,EASY,,,,,,,
CPMAI-D5-029,"A pricing model will replace a manual process. The project manager asks what has to be in place before the switch, and the team answers that the model is accurate and the interface is built. The sponsor wants the release approved this week. What should the project manager establish as a condition of going live?",A commitment that the manual process will be retired on the day the model goes live,A way to detect that the model is misbehaving and a defined route back,A signed acceptance from the sponsor that the model met the agreed accuracy level,A plan to retrain the model on a monthly cycle once it has been operating,B,A release is ready when the organisation can detect a problem and return to a known good state.,Retiring the fallback on day one removes the option of reverting. That is the opposite of what a safe release needs.,"Accuracy in evaluation does not guarantee correct behaviour in production. Without detection and a way to revert, a fault continues unnoticed and cannot be undone quickly.",Acceptance records agreement on a figure already measured. It does not give the organisation any means of noticing or correcting a problem after release.,A retraining cadence is part of ongoing operation and may be right. It does not address what happens if the model misbehaves in the first week.,Operationalize AI Solution,Deployment planning and release strategy,HARD,,,,,,,
CPMAI-D5-030,A model is retrained on recent data and the new version scores better on the latest month's records than the version in production. The team proposes replacing the production model immediately. What should the project manager require before the replacement?,Confirmation that the new version was trained on more records than the version in production,A demonstration that the new version scores better on the original evaluation set as well,"The same release controls that applied to the original deployment, including a route back",Agreement from the sponsor that the improvement justifies the cost of the retraining work,C,A replacement model is a new release and carries the same release risks as the first one.,More training records do not by themselves establish that the new version is ready for production.,Scoring well on the older set is a reasonable check to run. It still does not address how the new version behaves once it is making live decisions.,"A retrained model is new software making live decisions. A better score on one month does not remove the need for staged exposure, monitoring and the ability to revert.","The retraining work is already done, so its cost is not recoverable and should not shape the release decision.",Operationalize AI Solution,Drift detection and retraining,MEDIUM,,,,,,,
CPMAI-D5-031,"During an incident, the project manager finds that three people are each investigating the same live model fault from different angles, one has restarted a service, and nobody has told the operational users anything. The team is capable and working hard. What does the situation lack?",A single person coordinating the response and communicating out,More people assigned to the investigation so that the cause is found sooner,A rule that no service may be restarted during an active incident,A technical tool that shows the state of every service in one place,A,"An incident needs someone coordinating the response, not more people working on it.","Effort is not the constraint. Without coordination, actions overlap or conflict, changes are made unrecorded, and the people affected are left without information.",Adding investigators to an uncoordinated response increases the overlap already occurring.,A blanket prohibition would block a legitimate remedy. The problem is that the restart was uncoordinated and unrecorded.,Shared visibility helps a coordinated response and does not create one on its own.,Operationalize AI Solution,"Incident response, rollback and failure handling",MEDIUM,,,,,,,
CPMAI-D5-032,"A project manager plans the communication for a model that will change how a team works. The draft explains what the model does and when it goes live. A colleague notes that staff have asked repeatedly whether the model will replace their roles, and the draft does not mention it. What should the communication do?",Postpone the communication until the position on roles has been settled,Keep the communication factual and handle role questions individually as they arise,Leave role impacts out until every staffing decision has been finalised,"Address the question about roles directly, with whatever is known and not yet known",D,Leaving a major question about people's own roles unanswered can undermine the rest of the communication.,"Delay leaves staff to fill the gap themselves in the meantime, and the model still goes live on its date.",Handling the same question one conversation at a time produces inconsistent answers and leaves most people uninformed.,"Waiting for complete certainty leaves the question unanswered through the period staff are asking it, and the model goes live regardless.","Silence on the question staff are actually asking is read as an answer. Stating the position, including what has not been decided, is what allows the rest of the message to be heard.",Operationalize AI Solution,"Adoption, training and change management",MEDIUM,,,,,,,
CPMAI-D5-033,"A model will be embedded in an existing system that has its own validation rules, some of which reject records the model can score. The team tested the model against a data extract and did not exercise the surrounding system. What risk does this create at go-live?",The model's predictions will be slower once it runs inside the existing system,The existing validation rules will need to be removed before the model can operate,"Records the model was tested on may never reach it, and others may reach it in a different form",The model will need to be retrained on records that satisfy the validation rules,C,A model tested in isolation has not been tested against the system that will feed and constrain it.,"Additional processing may add latency, which is worth measuring. It is a performance question rather than a correctness one.",Those rules serve the system's own purposes and removing them would be a significant change with its own consequences.,"The surrounding rules decide what arrives. Testing against an extract says nothing about what the live system passes through, rejects or transforms on the way.",Retraining may follow if the live input turns out to differ. The immediate risk is that nobody yet knows what the live input looks like.,Operationalize AI Solution,Integration with business processes and systems,MEDIUM,,,,,,,
