question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-D4-011,A team is predicting how many days a repair will take. It reports that the model is correct eighty-two per cent of the time. The project manager notes that the quantity being predicted is a number of days rather than a category. What is wrong with the way performance has been reported?,"A numeric prediction should be judged by the size of its error, not by exact matches",Eighty-two per cent is too low a figure to support deploying a repair duration model,The model should predict a range of days rather than a single number of days,Accuracy should have been reported separately for each type of repair in the dataset,A,"A prediction of a quantity is judged by how far it lands from the truth, not by whether it is exactly right.","Treating a predicted duration as right or wrong throws away how wrong it was. A forecast one day out and one thirty days out are very different, and the reported figure cannot tell them apart.",Whether a level of performance is adequate depends on the use. The reporting problem stands regardless of whether the number is high or low.,Predicting an interval can be genuinely useful for planning. It is a change to what the model outputs and does not fix how the current output is being scored.,Breaking results down by repair type is worthwhile analysis. It does not address the use of an exact-match measure for a numeric prediction.,Manage AI Model Development and Evaluation,Model evaluation metrics,MEDIUM,,,,,,,
CPMAI-D4-012,"A team proposes generating synthetic records to enlarge a small training set for a credit risk model, arguing that the real data will take another two quarters to accumulate. The sponsor is willing to fund the tooling. What should the project manager require the team to establish?",That synthetic records can be produced faster than real records are collected,That synthetic records are stored separately from real records in the warehouse,That synthetic records preserve the relationships and variation relevant to the prediction task,That synthetic records are generated by a vendor tool rather than in-house code,C,Synthetic data is only useful if it carries the structure the model needs to learn.,Generation speed is an advantage of synthesis and is not the binding constraint here. Producing unhelpful records quickly does not advance the model.,Keeping synthetic and real records distinguishable is sound data management and supports later evaluation. Storage separation does not make the synthetic data fit for training.,The value of synthetic records depends on whether they preserve the relationships and variation relevant to the prediction task. Their usefulness should then be checked against real held-out data.,Vendor tooling may bring maturity and validation features worth having. Provenance of the generator is not what determines whether the output is faithful.,Manage AI Model Development and Evaluation,Training data strategy and validation design,MEDIUM,,,,,,,
CPMAI-D4-013,"An agreed requirement for a maintenance prioritisation model states that a supervisor must be able to see why a job was ranked where it was. At the evaluation review the team presents accuracy figures and a ranked list, but the model produces no case-level reasoning. What is missing before the model can pass evaluation?",A training session explaining how the model was built and which algorithm it uses,"A higher overall accuracy figure, so supervisors have more reason to trust the ranking",A process allowing supervisors to override any recommendation they disagree with,Evidence that the model can produce the case-level reasoning the requirement specifies,D,"A model is evaluated against every agreed requirement, not only against its performance figures.","Explaining the method in general does not demonstrate that the model can give a reason for an individual ranking, which is what the agreed requirement specifies.","A higher figure speaks to how often the ranking is right, not to whether a supervisor can see why a job was ranked where it was. The requirement would remain unevidenced.",An override route lets a supervisor reject a ranking without understanding it. It does not supply the case-level reasoning the requirement calls for.,"The requirement forms part of what the model is evaluated against. Performance figures do not show it is met, so until case-level reasoning is demonstrated the model has not passed evaluation.",Manage AI Model Development and Evaluation,"Bias, fairness and evaluation transparency",MEDIUM,,,,,,,
CPMAI-D4-014,A sponsor asks the project manager to commit to a schedule in which model performance improves by a set amount in each of the next four months. The team has already made the gains available from straightforward changes. What should the project manager explain?,Improvement will continue at a steady rate provided the team's resourcing is maintained at its current level,"Further gains are uncertain in size and timing, so they cannot be scheduled as fixed increments",The schedule can be met if the team is permitted to change the measure used to report performance,Performance targets should be set only after the model has been deployed and observed in use,B,"Model improvement is investigative work, so equal gains cannot be committed to on a fixed schedule.",Resourcing supports the work but does not make the results regular. Effort and improvement are not proportional in investigative work.,"Each experiment may or may not yield an improvement. Once the straightforward gains are taken, remaining progress depends on findings that cannot be committed to in advance.",Changing the measure to produce a rising number reports progress that has not occurred. It would mislead the sponsor.,Targets are needed before deployment to decide whether to deploy at all. Deferring them removes the basis for that decision.,Manage AI Model Development and Evaluation,Experiment management and iteration governance,MEDIUM,,,,,,,
CPMAI-D4-015,"A team is beginning model development for a demand forecasting problem and proposes moving straight to a complex architecture, on the grounds that the business expects a sophisticated solution. The project manager asks what the results will be compared against. What should the project manager require first?",A sponsor commitment to fund the complex architecture through to deployment,A written statement of the intended architecture and the libraries it depends on,An estimate of the computing time the architecture will need during training,"A simple baseline, so any gain from the complex approach can be measured against it",D,"Without a simple reference point, a complex model's score cannot be shown to be worth its cost.",Funding certainty helps planning but says nothing about whether the complex approach performs better than a simple one. The comparison question the project manager raised would remain unanswered.,Recording the intended architecture is reasonable documentation. It does not establish a reference point against which the resulting model's performance can be judged.,"Compute cost is worth knowing, but it measures what the approach consumes rather than what it delivers. It provides no comparison for the model's accuracy.","A baseline establishes what performance is achievable cheaply. Only the margin above it shows what the complex model contributes, which is what justifies its cost and its ongoing maintenance.",Manage AI Model Development and Evaluation,Model approach and algorithm selection,MEDIUM,,,,,,,
CPMAI-D4-016,"Before a fraud detection model goes live, the project manager wants the cut-off set deliberately rather than by default. The team asks what information is needed from the business to make that decision. Select two.",The algorithm the team used to produce the fraud scores,The relative cost of a missed fraud and a wrongly flagged transaction,The share of transactions that were fraudulent in each of the last three years,The number of flagged cases the review team can handle in a day,"B,D",Setting a cut-off requires knowing what each error costs and how much review capacity exists.,The method behind the scores does not determine where the cut-off belongs. The same cut-off question arises whatever algorithm produced them.,"The cut-off balances the two errors, so their relative cost sets where the balance should fall. Without it the choice has no basis beyond convention.",Historical prevalence is useful background for interpreting the scores. It does not by itself say what balance of errors the business should accept.,"A cut-off that flags more cases than the team can review produces a backlog, and the unreviewed cases receive no action. Capacity puts a practical ceiling on the choice.",Manage AI Model Development and Evaluation,Error cost and decision thresholds,MEDIUM,,,,The total number of features the model uses to generate each score,,Feature count describes the model's construction and has no bearing on where the decision boundary should sit.,
CPMAI-D4-017,"A team's model scores poorly on both the training data and the held-out data, at levels close to what a simple guess would achieve. Training has been run to convergence and the usual optimisation settings have been tried without effect. The team proposes collecting substantially more records of the same kind. What should the project manager consider first?",Whether the held-out set is large enough for the reported score to be stable,Whether the team has trained for long enough for performance to settle,Whether the model and its features can represent the relationship at all,Whether the additional records can be collected within the schedule the sponsor agreed,C,"Where a converged model underperforms on its own training data, capacity or features are the constraint.",Test set size affects how precisely performance is measured. It does not explain a model that also fails on its training data.,"The stem establishes that training has been run to convergence, so duration has already been ruled out as the explanation.","With training converged, weak performance on the records the model was fitted to points at the model or the feature representation rather than the amount of data. More records of the same kind are unlikely to address that.","Feasibility of collection matters only once more data is established as the remedy, which it has not been.",Manage AI Model Development and Evaluation,"Overfitting, generalisation and robustness",MEDIUM,,,,,,,
CPMAI-D4-018,"A team is building a model to predict readmission from patient records. Many patients appear several times in the dataset, once per admission. The evaluation is required to estimate how the model will perform for patients not represented in the training data. The team splits the records at random, so a given patient's admissions can fall on both sides of the split. What risk does this create?",The model can recognise individual patients rather than learn the pattern behind readmission,Patients with several admissions will be weighted more heavily than patients with only one,"The test set will contain fewer distinct patients than the training set, making it less representative",Admissions for the same patient may have been recorded in different formats over time,A,"Where the objective is performance on unseen entities, the split must separate entities rather than records.","Admissions for one patient share many characteristics. With the same patient on both sides, the model can succeed by matching a familiar patient, which is precisely what the stated evaluation objective excludes.","Repeated records do give frequent patients more influence during training, which is worth managing. It is a separate issue from the split placing one patient on both sides.",The counts follow from the proportions of the split and are not the problem. The problem is that the same patient appears in both sets.,Inconsistent recording is a data quality matter to be checked. It is unrelated to how the split was drawn.,Manage AI Model Development and Evaluation,Data leakage,HARD,,,,,,,
CPMAI-D4-019,A team is preparing a feature set in which one field records an age in years and another records an annual amount that runs into the hundreds of thousands. The team plans to use a method that is sensitive to the relative scale of its inputs. What preparation step does this call for?,"Removing the larger-valued field, since it would otherwise overwhelm the other",Placing both fields on a comparable scale before training begins,Rounding the larger values so both fields hold a similar number of digits,Recording both fields as text so the method does not read them as quantities,B,Scale-sensitive methods treat a large-valued field as more important simply because its numbers are bigger.,"Dropping the field discards information that may be genuinely predictive. The problem is the difference in scale, which rescaling addresses without losing the field.","Where a method measures distances or weights inputs by magnitude, the field with larger numbers dominates. Rescaling puts the fields on comparable footing so each contributes on its merits.","Rounding reduces precision without reliably equalising scale, and it destroys detail in the larger field. It is not a substitute for a proper rescaling step.","Storing numbers as text prevents the method from using their magnitude at all, which removes real information. The aim is comparable scale, not the loss of numeric meaning.",Manage AI Model Development and Evaluation,Feature engineering and preparation,EASY,,,,,,,
CPMAI-D4-020,"A team presents a confusion matrix for a classifier that identifies faulty parts. The project manager wants to know how often a part the model flagged as faulty actually turned out to be faulty, because every flagged part is pulled off the line for inspection. Which measure answers that question?","Recall, the share of genuinely faulty parts that the model managed to flag","Precision, the share of flagged parts that were genuinely faulty","Overall accuracy, the share of all parts the model classified correctly","Specificity, the share of sound parts that the model correctly left unflagged",B,"Precision describes how often a positive prediction is correct, which matters when every false positive triggers unnecessary inspection.",Recall answers the complementary question of how many faults were caught. It says nothing about how many flagged parts turn out to be sound.,"Precision looks only at the cases the model flagged and asks how many were right. That directly answers how often a flagged part actually proves faulty; combined with flagged volume, it can also help quantify inspection effort spent on sound parts.","Accuracy pools flagged and unflagged parts together. A model can score well on it while most of its flags are wrong, particularly when faults are uncommon.",Specificity describes behaviour on sound parts across the whole line. It does not isolate the flagged group that inspection actually acts on.,Manage AI Model Development and Evaluation,Model evaluation metrics,EASY,,,,,,,
CPMAI-D4-021,"A team splits its data into a training set, a validation set and a test set. A stakeholder asks why two separate held-out sets are needed when one would be simpler to manage. What is the reason for keeping them separate?","The validation set guides development choices, so an untouched test set gives the final independent estimate",The validation set checks the training data quality and the test set checks the model,Two held-out sets allow the team to report two accuracy figures to the stakeholders,The validation set is used during training and the test set after the model is deployed,A,A set used to make development choices can no longer provide an independent estimate of performance.,"Each time the validation set informs a decision, the model is shaped a little to suit it. A set that played no part in those decisions provides the independent estimate of behaviour on new data.","Checking data quality is a separate purpose from the roles of the validation and test sets. The validation set guides development choices, while the untouched test set provides the final independent estimate.","Reporting two numbers is a consequence, not a purpose. The reason for the separation is that only one of them is an independent estimate.",The test set is used before deployment to support the go-live decision. Holding it until after deployment would leave that decision unevidenced.,Manage AI Model Development and Evaluation,Training data strategy and validation design,EASY,,,,,,,
CPMAI-D4-022,"A team removes an applicant's recorded gender from a credit model's inputs and reports that the model can no longer discriminate on that basis. The remaining features include occupation, purchasing categories and the applicant's employment history. What should the project manager raise?",Removing the field will reduce the model's accuracy and should therefore be reconsidered,The field should be retained so the model can be tested for differences between groups,"Remaining features may carry the same information, so the pattern can persist",The remaining features should be reduced in number until none of them relates to the removed field,C,Removing an attribute does not remove it from the model if other fields carry the same information.,"Accuracy may or may not fall, and would not justify reinstating the field here. The concern is whether removal achieved what was claimed.","Group information is needed to evaluate outcomes, but it can be held for evaluation without being used as a model input. The two uses are separable.","Occupation, purchasing patterns and other remaining features may carry information correlated with the removed attribute. The model can reconstruct it in effect, so outcomes must still be examined by group.","Very many features relate weakly to such an attribute, so this would strip the model of most of its inputs while still not guaranteeing the outcome.",Manage AI Model Development and Evaluation,"Bias, fairness and evaluation transparency",HARD,,,,,,,
CPMAI-D4-023,"Evaluation shows a model falls well short of the agreed performance level, and the team's analysis attributes this mainly to gaps and inconsistencies in the input data rather than to the modelling approach. The sponsor asks what happens next. What should the project manager advise?","Continue with further modelling approaches, since one of them may overcome the data limitations",Lower the agreed performance level to one the current model can meet,Deploy the model to a small group of users so real-world evidence can be gathered,Return to the data work before further modelling is attempted,D,An evaluation result can send a project back to an earlier phase rather than onward to the next.,"Some approaches tolerate imperfect data better than others, but none can supply information the data does not contain. This spends effort where the constraint is not.",Moving the standard to fit the result removes the purpose of setting it. The level was chosen to reflect what the business needs.,"Releasing a model known to fall short exposes users to poor outcomes, and the cause is already understood well enough to act on.","The evidence points at the data, so continuing to try modelling approaches would address the wrong constraint. Revisiting an earlier phase is a normal outcome of evaluation, not a failure.",Manage AI Model Development and Evaluation,Experiment management and iteration governance,MEDIUM,,,,,,,
CPMAI-D4-024,A team proposes a deep neural network for a problem with roughly eight hundred labelled records and twelve input fields. The sponsor is impressed by the proposal. The project manager asks the team to justify the choice against a simpler statistical model. What is the central concern?,Neural networks need input fields converted into images before training on tabular data,A high-capacity model relative to the available evidence carries a greater overfitting risk,Twelve input fields is too few for any model to predict usefully on this problem,No single accuracy figure can be reported to the sponsor for a neural network,B,Additional model capacity has to earn its place against a simpler baseline on held-out performance.,"Neural networks accept tabular numeric input directly. No conversion into images is involved, so this misstates how the method works.",The proposed approach has enough flexibility to fit patterns specific to eight hundred records. That makes evidence necessary that its additional complexity improves held-out performance over the simpler model.,"Twelve fields can be perfectly adequate. The difficulty here is the number of records relative to the model's flexibility, not the number of fields.",A neural network can be scored with the same measures as any other classifier. Reporting is not the constraint.,Manage AI Model Development and Evaluation,Model approach and algorithm selection,MEDIUM,,,,,,,
CPMAI-D4-025,"A team lowers the score at which a collections model refers an account for intervention, so that more at-risk accounts are caught. The project manager is asked what else will change as a result. What should be expected?",The model will become more accurate on both the at-risk and the sound accounts,The proportion of referred accounts that genuinely need intervention will rise,The model will need to be retrained before the change to the cut-off takes effect,More accounts in total will be referred for intervention,D,"Lowering a decision threshold admits every case the higher threshold admitted, so the number acted on rises.",A cut-off change trades performance between the two groups rather than improving both. Gains on at-risk accounts come at the expense of sound ones.,"Accounts admitted by the lower bar carry weaker evidence of risk than those already referred, so the share of referrals that prove justified tends to fall rather than rise.",A cut-off is applied to scores the existing model already produces. No retraining is required to change it.,"A lower bar admits every account the higher bar admitted, plus those scoring between the two. The referral count therefore rises, and the accounts added carry weaker evidence of risk.",Manage AI Model Development and Evaluation,Error cost and decision thresholds,MEDIUM,,,,,,,
CPMAI-D4-026,"A team reports that model A scored two points higher than model B on a held-out set of ninety records, and recommends model A on that basis. The project manager notes that a difference of two points on this set corresponds to about two records. What should be concluded?",The two-point difference alone is not sufficient evidence that model A is better,"Model A should be selected, since it scored higher and a decision has to be made","Model B should be selected, because the smaller measured difference suggests it is more stable","The models should be combined, since neither has been shown to be better than the other",A,A small-sample difference is not evidence of a better model until its uncertainty has been assessed.,"On ninety records a two-record difference is small relative to the uncertainty in each estimate. Establishing a real difference calls for repeated or paired evaluation, or an interval around each score.","A decision does have to be made, but it should rest on evidence that distinguishes the options. Further evaluation, or another criterion, is the appropriate route.",Nothing in the comparison speaks to stability. A lower score does not indicate more consistent behaviour.,"Combining them adds complexity without addressing the question. Indistinguishable performance is a reason to look further, not to merge.",Manage AI Model Development and Evaluation,"Overfitting, generalisation and robustness",HARD,,,,,,,
CPMAI-D4-027,"A team building a churn model presents its feature list to the project manager. One field records whether the customer has been assigned to the retention outreach team, and the team notes it is among the strongest predictors found so far. The model is intended to score customers before any retention assignment is made. What concern should the project manager raise?",The field may be missing for customers who joined most recently,The field may be stored as a flag rather than as a descriptive category,"The field is created after the intended scoring point, so it will not be available with the same meaning",The field may be refreshed on a slower cycle than the other customer attributes in the dataset,C,A feature created after the model's intended scoring point will not be available when the prediction is required.,Recent joiners having sparser history is a routine completeness pattern. It is a data gap rather than the structural problem with this feature.,Storage as a flag or a category is an encoding choice that is easily handled. Representation is not the issue.,"The model is intended to score customers before any retention assignment exists, so the field will not carry the same value or meaning at that point. Its strength in training reflects information recorded after the scoring point rather than available at it.",Differing refresh cadence affects timeliness across fields. It does not explain why this particular field is unsafe to use.,Manage AI Model Development and Evaluation,Data leakage,HARD,,,,,,,
CPMAI-D4-028,"A team preparing features for a maintenance prediction model has worked only from the recorded fields, without consulting the engineers who operate the equipment. The project manager notices that no feature reflects how the machines are actually run. What is the value of involving those engineers?",They can confirm the recorded fields use correct data types and units throughout,They can approve the feature set so the modelling work has operational sign-off,They can name operating conditions worth deriving that the raw fields do not record,They can say which machine learning algorithm suits equipment data of this kind,C,Operational knowledge identifies quantities worth deriving that the raw records do not contain.,"Checking types and units is worthwhile data preparation work, and engineers may help. It verifies the existing fields rather than identifying quantities the feature set is missing.",Sign-off records agreement. It does not add the operating knowledge that would improve which features exist in the first place.,"People who run the equipment know which combinations of readings signal trouble. Those conditions can often be computed from existing fields once someone names them, and are missed otherwise.","Algorithm selection is not where their expertise lies. Their contribution is knowledge of the equipment, not of modelling methods.",Manage AI Model Development and Evaluation,Feature engineering and preparation,MEDIUM,,,,,,,
CPMAI-D4-029,A team reports that raising a fraud model's recall from sixty to eighty per cent caused its precision to fall from seventy to forty-five per cent. A stakeholder asks whether the change is an improvement. What should the project manager say determines the answer?,Whether the sum of precision and recall is higher after the change than it was before,What a missed fraud costs compared with a review of a legitimate case,Whether the model's overall accuracy also improved when the change was made,Whether the recall figure now exceeds the precision figure by a clear margin,B,Whether a precision and recall trade is worth making depends on what each kind of error costs.,"Adding the two measures treats the errors as interchangeable. They are not, and the sum has no meaning in terms of what the organisation loses.",The trade moves error from one type to the other. Only the relative consequences of a missed fraud and a review of a legitimate case can establish whether the new balance is preferable.,Overall accuracy combines both error types into a single figure and can move very little when either measure changes. It cannot arbitrate a trade between them.,There is no general principle that recall should exceed precision. Which matters more depends entirely on the costs involved.,Manage AI Model Development and Evaluation,Model evaluation metrics,MEDIUM,,,,,,,
CPMAI-D4-030,"Over several weeks a team has adjusted its model many times, checking the test set after each change and keeping whichever adjustments raised the test score. The final test accuracy is the highest achieved. The project manager is asked to sign off on that figure as the expected production performance. What is the concern?","The team should have kept the adjustments that lowered the test score as well, for completeness","The test accuracy is reliable, since every adjustment was measured on the same held-out records throughout","Test accuracy alone is never sufficient, so precision and recall should also be reported",Repeated tuning against the test set has made its score an optimistic estimate,D,A held-out set consulted repeatedly during tuning stops being held out and starts being fitted.,Retaining changes that hurt performance would not improve the estimate. The problem lies in using the test set to make the choices at all.,Using the same records consistently is exactly what allows the fitting to accumulate. Consistency makes the optimism systematic rather than removing it.,"Reporting further measures is good practice, and worth doing. Those measures would be inflated by the same repeated tuning, so it does not resolve the concern.",Each decision taken because it improved the test score fits the model a little more closely to those particular records. The final figure reflects that fitting as well as genuine capability.,Manage AI Model Development and Evaluation,Training data strategy and validation design,HARD,,,,,,,
