question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-ALGK-011,A team needs a simple baseline to categorize text documents using the words that occur in them. Which algorithm is strongly associated with this type of text classification?,K-means clustering,Linear regression,Naive Bayes classifier,Gaussian Mixture Model (GMM),C,Naive Bayes is a strong fit for text classification using word occurrence or frequency information.,K-means discovers clusters in unlabeled data rather than learning predefined text categories.,Linear regression predicts continuous numeric values.,Correct. Naive Bayes combines feature probabilities and is commonly used as a simple text classifier.,GMM models mixtures of distributions rather than predefined text classes.,Manage AI Model Development and Evaluation,Naive Bayes,EASY,,algorithm,,,,,
CPMAI-ALGK-012,Which supervised algorithm is identified by the idea of placing a separating hyperplane between classes and maximizing the margin around that boundary?,Decision tree,K-Nearest Neighbor (KNN),Naive Bayes classifier,Support Vector Machine (SVM),D,SVM separates labeled classes using a maximum-margin decision boundary.,"A decision tree separates cases through branching rules, not a maximum-margin hyperplane.",KNN uses the labels of nearby examples rather than fitting a separating hyperplane.,Naive Bayes combines probabilities across features.,Correct. A maximum-margin hyperplane is the key identifying mechanism of SVM.,Manage AI Model Development and Evaluation,Support Vector Machines,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-013,"A model must output the probability that a customer will accept an offer, so that a business threshold can be applied to that probability later. Which algorithm is designed to produce class probabilities for a two-outcome problem?",Logistic regression,Linear regression,K-means clustering,Hidden Markov Model (HMM),A,"Logistic regression estimates the probability of a two-outcome result, which a threshold can then turn into a decision.","Correct. It models the probability of one of two outcomes, producing a value between 0 and 1 that a business threshold can act on.","Linear regression predicts an unbounded continuous value, which can fall below 0 or above 1 and so cannot be read directly as a probability.",K-means clustering groups unlabeled records and produces no probability for a defined outcome.,HMM infers hidden states behind a sequence rather than estimating the probability of a single two-outcome result.,Manage AI Model Development and Evaluation,Logistic Regression,EASY,,algorithm,,,,,
CPMAI-ALGK-014,Why can KNN become expensive when a prediction service grows to a very large stored dataset?,It must retrain a deep neural network from scratch before each prediction,Much of its computation occurs when comparing a new case with stored examples,It must first infer the hidden states that generated the sequence,It can only run once the number of clusters has been fixed in advance,B,KNN is described as a lazy-learning method that defers much of its work to prediction time.,KNN does not retrain a deep neural network before each prediction.,"Correct. Prediction requires comparisons with stored examples, so cost can grow with the dataset.",Hidden-state inference describes HMM rather than KNN.,"A fixed number of clusters is a K-means concept, not a KNN requirement.",Manage AI Model Development and Evaluation,K-Nearest Neighbor,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-015,Which task is the clearest match for linear regression?,Discovering unknown customer segments,Choosing actions from rewards,Predicting a continuous numerical value,Assigning membership weights across clusters,C,Linear regression is used to predict a continuous numerical outcome from input features.,Discovering unknown groups is an unsupervised clustering task.,Choosing actions based on reward feedback is reinforcement learning.,Correct. Continuous-value prediction is the core use described for linear regression.,Membership weights across clusters are associated with Fuzzy C-means.,Manage AI Model Development and Evaluation,Linear Regression,EASY,,algorithm,,,,,
CPMAI-ALGK-016,A valuation tool estimates a new property's price by averaging prices from the most similar recently sold properties. Which algorithm most directly matches that method?,Naive Bayes classifier,K-means clustering,Support Vector Machine (SVM),K-Nearest Neighbor (KNN),D,KNN can estimate a numerical value from the values of the nearest comparable examples.,Naive Bayes is a probabilistic classifier rather than a nearest-comparable price estimator.,K-means groups unlabeled records into clusters.,"SVM separates labeled classes with a maximum-margin boundary and also has regression variants, but neither estimates a value by averaging the nearest comparable examples.",Correct. The estimate comes from the values of the nearest similar examples.,Manage AI Model Development and Evaluation,K-Nearest Neighbor,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-017,A model must provide a plain sequence of yes/no checks that explains why a case reached a particular outcome. Which model structure best provides that form of reasoning?,Decision tree,Gaussian Mixture Model (GMM),K-means clustering,Large Language Model (LLM),A,A decision tree represents predictions as a path through understandable branching conditions.,Correct. The prediction can be traced through successive branches.,"GMM explains data as a mixture of distributions, not a yes/no rule path.",K-means assigns records to centroid-based clusters.,An LLM generates language from learned patterns and does not provide the branch structure described.,Manage AI Model Development and Evaluation,Decision Trees,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-018,Which statement correctly describes how standard K-means assigns a data point after clusters have been formed?,It gives the point a probability for every possible hidden state,It assigns the point to the cluster with the nearest centroid,It asks an agent to choose the cluster and then rewards that choice,It predicts the point's label from word frequencies,B,K-means makes a hard assignment to the nearest cluster centroid.,"Assigning a probability across hidden states describes HMM, not K-means.",Correct. Standard K-means assigns each point to a single nearest centroid.,Reward-driven action selection describes reinforcement learning.,Word-frequency classification is associated with Naive Bayes.,Manage AI Model Development and Evaluation,K-Means,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-019,What is the key difference between Fuzzy C-means and standard K-means?,Fuzzy C-means requires a labeled outcome on every record,Fuzzy C-means predicts a continuous numeric value per record,Fuzzy C-means allows partial membership in multiple clusters,Fuzzy C-means models a sequence of hidden underlying states,C,Fuzzy C-means replaces hard single-cluster assignment with membership weights across clusters.,Fuzzy C-means is a clustering method and does not require labeled outcomes.,It is not primarily a continuous-value regression algorithm.,Correct. A record can belong to several clusters to different degrees.,Hidden-state sequences describe HMM.,Manage AI Model Development and Evaluation,Fuzzy C-Means,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-020,"A model must recognise objects in photographs, where what matters is the spatial arrangement of nearby pixels rather than their position in a list. Which neural network design is built for that kind of spatial structure?",Recurrent neural network (RNN),Hidden Markov Model (HMM),K-Nearest Neighbor (KNN),Convolutional neural network (CNN),D,"A convolutional network learns features from local spatial regions, which suits image data.","Recurrent networks carry information forward across ordered steps and are built for sequence, not for spatial relationships across an image.","HMM models hidden states behind an ordered sequence, which does not capture the two-dimensional spatial structure of a photograph.",KNN compares a new case against whole stored examples and learns no spatial features within an image.,"Correct. Convolutional layers detect features within small neighbouring regions and build up to larger shapes, which is what spatial recognition needs.",Manage AI Model Development and Evaluation,Convolutional Neural Networks,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-021,Why is an HMM a natural fit for identifying speech units from sequential audio signals?,It can infer hidden speech units from a sequence of observed audio signals,It divides audio into a preset number of centroid-based clusters,It predicts speech by averaging the nearest recordings,It requires every sound to be assigned a fixed membership weight across clusters,A,Phoneme identification from observed audio is a canonical sequence problem for HMM.,Correct. HMM connects observed sequential signals with underlying hidden states such as phonemes.,Preset centroid-based clustering describes K-means.,Nearest-example prediction describes KNN.,Membership weights across clusters describe Fuzzy C-means.,Manage AI Model Development and Evaluation,Hidden Markov Models,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-022,Which model type generates coherent natural-language text by predicting likely next words or tokens from patterns learned on massive training data?,Hidden Markov Model (HMM),Large Language Model (LLM),K-means clustering,Decision tree,B,LLMs generate contextually rich text by predicting likely next words or tokens from large-scale learned patterns.,HMM is a statistical sequence model for hidden-state problems such as phoneme identification.,Correct. Generating language from learned next-token patterns is the defining role of an LLM.,K-means is a clustering algorithm.,A decision tree provides branching rules rather than long-form language generation.,Manage AI Model Development and Evaluation,Large Language Models,EASY,,algorithm,,,,,
CPMAI-ALGK-023,A small team needs a natural-language assistant quickly and has limited resources to train a large model from scratch. Which strategy best fits that constraint?,Build an entirely new foundation model from the ground up,Replace the natural-language requirement with K-means clustering,Adapt an existing foundation model and connect it to curated domain content,Use only a hand-built decision tree to handle all natural-language responses,C,Reusing an existing foundation model and adapting it to domain content is preferred when speed and resources matter.,Training a large model from scratch is described as expensive and unnecessary when an existing model can be reused.,K-means solves clustering problems and does not provide a natural-language assistant.,Correct. Reuse plus domain content provides the capability without building the entire model from scratch.,A decision tree does not provide the flexible natural-language capability described.,Manage AI Model Development and Evaluation,Foundation Models,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-024,"Which AI approach relies on explicit logical rules, semantic relationships, and human-understandable concepts rather than primarily learning statistical patterns from data?",Deep learning,Gaussian Mixture Model (GMM),Support Vector Machine (SVM),Symbolic approaches,D,Symbolic approaches use logic and human-understandable concepts to represent reasoning.,Deep learning learns complex statistical patterns through neural networks.,GMM is a probabilistic clustering method.,SVM is a statistical classifier based on a separating boundary.,Correct. Symbolic approaches represent knowledge through explicit concepts and rules.,Manage AI Model Development and Evaluation,Symbolic Approaches,EASY,,algorithm,,,,,
CPMAI-ALGK-025,What feature distinguishes deep learning from a simple single-layer neural network?,It uses many hidden layers to represent greater complexity,It is restricted to clustering unlabeled data,It requires the number of groups to be specified before training begins,It can learn only from rewards received after actions,A,Deep learning uses many hidden layers to capture more complex patterns.,Correct. Depth refers to multiple hidden layers in the neural network.,Deep learning is not restricted to clustering.,A preset number of groups is associated with K-means.,Deep learning can be used in different learning settings; reward-only learning describes reinforcement learning.,Manage AI Model Development and Evaluation,Deep Learning,EASY,,algorithm,,,,,
CPMAI-ALGK-026,Which detail most strongly signals that a classification problem is supervised?,The team does not yet know which groups exist in the data,Historical examples already carry the category to be predicted,The system receives a reward or penalty after choosing an action,The data appears to contain overlapping bell-shaped populations,B,Known labels on historical examples are the defining cue for supervised learning.,No predefined groups points toward unsupervised learning.,Correct. The model can learn from input examples paired with known target categories.,Action followed by reward points toward reinforcement learning.,Overlapping bell-shaped populations point toward a Gaussian mixture model.,Manage AI Model Development and Evaluation,Supervised Learning,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-027,Which statement best describes the purpose of unsupervised learning?,Predict a known target value from labeled training examples,Improve a policy from rewards and penalties over time,Discover patterns or groups when labels are absent,Generate coherent natural-language text from a prompt,C,Unsupervised learning is used to discover structure in data without predefined target labels.,Predicting from labeled examples describes supervised learning.,Learning from rewards and penalties describes reinforcement learning.,Correct. The data itself is used to reveal structure or groupings.,Generating natural-language text is an LLM use case.,Manage AI Model Development and Evaluation,Unsupervised Learning,EASY,,algorithm,,,,,
CPMAI-ALGK-028,Which combination of elements is the strongest indicator of reinforcement learning?,"Labels, features, and a fixed target","Clusters, centroids, and a chosen K","Hidden states, observations, and transition probabilities","Agent, environment, actions, and rewards",D,Reinforcement learning is identified by an agent acting in an environment and improving from rewards or penalties.,Labels and targets are characteristic of supervised learning.,Clusters and centroids are characteristic of K-means.,Hidden states and sequential transitions are characteristic of HMM.,Correct. This action-feedback loop is the signature of reinforcement learning.,Manage AI Model Development and Evaluation,Reinforcement Learning,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-029,"A labeled problem has two classes, and the team wants a classifier whose boundary is positioned to leave the widest possible margin between the closest cases. Which algorithm matches that description?",Support Vector Machine (SVM),K-means clustering,Fuzzy C-means clustering,Gaussian Mixture Model (GMM),A,SVM is identified by a maximum-margin boundary for supervised classification.,Correct. SVM places a separating hyperplane to maximize the margin between classes.,K-means performs unsupervised centroid-based clustering.,Fuzzy C-means performs soft clustering with membership weights.,GMM models data as a mixture of probability distributions.,Manage AI Model Development and Evaluation,Support Vector Machines,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-030,Why is Naive Bayes a useful baseline for a large labeled text-classification task?,It builds a nested hierarchy of clusters automatically,"It is simple and fast, using text feature probabilities",It learns by trial and error from rewards and penalties over time,It infers hidden underlying states behind an ordered signal sequence,B,"Naive Bayes is a fast, simple probabilistic classifier well suited to text categorization.",Nested clusters are associated with hierarchical clustering.,Correct. Its probabilistic treatment of text features makes it a practical simple baseline.,Trial-and-error rewards describe reinforcement learning.,Hidden-state sequence inference describes HMM.,Manage AI Model Development and Evaluation,Naive Bayes,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-031,"A model must predict the next value in a stream of sensor readings, where each reading depends on the ones before it. Which neural network design carries information forward from earlier steps in the sequence?",Convolutional neural network (CNN),Random forest,Recurrent neural network (RNN),Naive Bayes classifier,C,"A recurrent network passes information from earlier steps forward, which suits data whose order carries meaning.",Convolutional networks detect features in local spatial regions and do not carry information forward across time steps.,Random forest treats each record independently and has no mechanism for passing information between ordered observations.,"Correct. Recurrent connections carry a state forward from one step to the next, so earlier readings influence the prediction for the current one.",Naive Bayes classifier combines feature probabilities for a single record and does not model dependence between successive readings.,Manage AI Model Development and Evaluation,Recurrent Neural Networks,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-032,Which clustering approach is useful when groups have irregular or non-convex shapes that simple distance-to-centroid methods may miss?,Linear regression,Naive Bayes classifier,K-Nearest Neighbor (KNN),Spectral clustering,D,Spectral clustering uses similarity relationships and suits non-convex or irregularly shaped groups.,Linear regression predicts continuous values.,Naive Bayes is a supervised probabilistic classifier.,KNN predicts from nearby labeled examples.,Correct. Spectral clustering uses relationships among points to capture group shapes that centroid-based clustering may miss.,Manage AI Model Development and Evaluation,Spectral Clustering,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-033,Which clustering method builds a tree of nested groups by repeatedly merging or splitting clusters?,Hierarchical clustering,Support Vector Machine (SVM),Linear regression,Reinforcement learning,A,Hierarchical clustering constructs nested clusters through repeated merging or splitting.,Correct. The result represents a hierarchy of clusters.,SVM is a supervised classifier based on a separating boundary.,Linear regression predicts a continuous numeric value.,Reinforcement learning improves actions from reward feedback.,Manage AI Model Development and Evaluation,Hierarchical Clustering,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-034,How does GMM differ from standard K-means when clusters overlap?,GMM requires every record to carry a known outcome label before training,GMM can represent probabilistic mixed membership across distributions,GMM can only ever produce one cluster from the data,GMM learns only through rewards received after actions,B,GMM can model overlapping probability distributions and represent a point as belonging probabilistically across components.,GMM is used as an unsupervised probabilistic model and does not require target labels.,Correct. This probabilistic mixture is a key difference from K-means hard assignment.,GMM is specifically a mixture of multiple components.,Reward-driven action learning describes reinforcement learning.,Manage AI Model Development and Evaluation,Gaussian Mixture Models,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-035,What structure allows a neural network to learn relationships that a straight-line model cannot represent?,A single yes-or-no rule applied at each branch of a tree,A fixed number of centroids chosen before training begins,Interconnected layers applying non-linear transformations,A maximum margin placed between two labelled classes,C,Layers of connected units applying non-linear transformations let a network represent relationships a straight line cannot.,"Branching rules describe a decision tree, which partitions the data into regions rather than composing layered transformations.","A preset number of centroids describes K-means clustering, which groups unlabeled records and learns no input-to-output relationship.","Correct. Each layer transforms its input non-linearly and passes it on, and stacking those layers lets the network represent curved and complex relationships.","A margin between labelled classes describes SVM, which positions a boundary rather than composing layers of transformations.",Manage AI Model Development and Evaluation,Neural Networks,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-036,"For a use case where an auditor must trace one prediction through explicit steps, why might a single decision tree be preferred over a random forest?",A random forest's individual trees are too shallow to inspect,A forest can be traced by averaging its trees into one tree,A single tree is preferred because it uses fewer input features,"A single tree exposes one branch path, while a forest aggregates many trees.",D,"One decision tree offers direct traceability, while an ensemble of many trees reduces that transparency.",Depth is not the obstacle. Individual tree outputs can be examined; what makes a forest harder to interpret is that its prediction aggregates many trees rather than following one path.,"Trees cannot be meaningfully averaged into one equivalent tree. The forest's prediction comes from aggregating separate trees, and that aggregation is what resists tracing.","A single tree may use just as many features as a forest. Its advantage to an auditor is the traceable branch path, not the number of inputs.",Correct. A single branch path is easier to audit than an aggregate across many trees.,Manage AI Model Development and Evaluation,Model Explainability,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-037,A proven model already exists for the same narrow classification task a team needs. What principle should the team consider before training an equivalent model from scratch?,Reuse and adapt an existing suitable model when it meets the need,Always choose the largest available model on offer,Always build a custom model in-house in order to retain full control,Choose an unsupervised algorithm even when labels exist,A,Avoid unnecessary reinvention when an existing task-specific model can be adapted effectively.,"Correct. Reuse can save time, cost, data, and specialist effort when the task fit is already strong.",Model size alone does not establish task fit.,"Building from scratch typically requires substantially more time, data, compute and specialist effort, so it needs specific justification when a suitable model already exists.",Existing labels can support supervised learning; there is no reason to discard them automatically.,Manage AI Model Development and Evaluation,Algorithm Selection,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-038,A company wants an internal policy assistant that answers natural-language questions from curated company documents. Which option is the appropriate pattern for a small team?,Train a new LLM entirely from scratch,Use an existing foundation model with the curated internal knowledge source,Convert all documents into K-means clusters and return the nearest centroid,Use an HMM because policies are written as sequences of words,B,Using an existing foundation model connected to curated internal content is preferable to training a large model from scratch.,Training from scratch is resource intensive and unnecessary for the stated need.,Correct. This pattern combines an existing language capability with domain-specific internal information.,K-means clustering does not provide a natural-language question-answering capability.,"HMM is a sequence model, but long-form natural-language generation is an LLM capability rather than an HMM one.",Manage AI Model Development and Evaluation,Foundation Models,MEDIUM,,algorithm,,,,,
CPMAI-ALGK-039,Which pairing is correct?,Supervised learning — discovers groups without labels,Reinforcement learning — predicts only continuous numbers,Unsupervised learning - structure without labels,K-means clustering - learns a policy from rewards,C,Unsupervised learning searches for structure in data without predefined target labels.,Supervised learning uses labeled examples rather than requiring labels to be absent.,"Reinforcement learning is defined by actions and reward feedback, not by continuous-number prediction.",Correct. Discovering structure without predefined target labels is the core unsupervised-learning pattern.,"K-means is a clustering algorithm, not a reward-driven policy-learning method.",Manage AI Model Development and Evaluation,Learning Paradigms,EASY,,algorithm,,,,,
CPMAI-ALGK-040,"A learner sees four clues: 'nearest labeled examples,' 'maximum-margin boundary,' 'membership weights across clusters,' and 'hidden states over time.' Which sequence of algorithms matches those clues?","K-means, Decision tree, GMM, Linear regression","Naive Bayes, KNN, SVM, K-means","Decision tree, Naive Bayes, K-means, GMM","KNN, SVM, Fuzzy C-means, HMM",D,"The four clues map respectively to KNN, SVM, Fuzzy C-means, and HMM.","None of these four fits its clue: K-means assigns to the nearest centroid rather than comparing stored labeled examples, and linear regression fits a line rather than modelling hidden states over time.","KNN and SVM do match two of the clues, but not the ones they are paired with here. Naive Bayes classifies by feature probabilities, and K-means does not model hidden states over time.","A decision tree traces branching rules rather than comparing nearest labeled examples, K-means makes hard cluster assignments rather than membership weights, and GMM models a static mixture rather than states changing over time.",Correct. KNN uses nearest labeled examples; SVM uses a maximum-margin boundary; Fuzzy C-means uses membership weights; HMM models hidden states across sequences.,Manage AI Model Development and Evaluation,Algorithm Recognition,MEDIUM,,algorithm,,,,,
