question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,domain,topic,difficulty,source
CPMAI-011,"In AI governance, what is the primary role of a model inventory?","To track hardware costs","To maintain a record of deployed models, their purpose, owners and risk level","To store training datasets","To schedule team meetings","B","A model inventory gives the organisation visibility of what is running where, who owns it, and what risk it carries - the foundation of any governance programme.","AI Governance","Model Inventory","MEDIUM","Starter set"
CPMAI-012,"What distinguishes supervised from unsupervised learning?","Supervised learning is always more accurate","Supervised learning uses labelled examples; unsupervised learning finds structure in unlabelled data","Supervised learning requires less data","Unsupervised learning cannot use numeric data","B","Supervised learning trains on input-output pairs to predict a known target. Unsupervised learning has no target and instead discovers structure such as clusters.","Machine Learning Fundamentals","Learning Types","EASY","Starter set"
CPMAI-013,"What is overfitting?","A model that trains too slowly","A model that memorises training data including noise and fails to generalise","A model that uses too much memory","A model with too few parameters","B","An overfitted model captures noise specific to the training set. It scores very well on training data and poorly on new data.","Machine Learning Fundamentals","Overfitting","EASY","Starter set"
CPMAI-014,"Which risk should be assessed BEFORE data collection begins on an AI project?","Server capacity","Whether the intended data use complies with privacy law and consent terms","The choice of programming language","The colour scheme of the dashboard","B","Privacy, consent and lawful basis must be settled before data is gathered. Discovering a compliance problem after collection can invalidate the whole dataset.","Risk Management","Privacy Risk","MEDIUM","Starter set"
CPMAI-015,"What is the most appropriate response when a model's accuracy is high but stakeholders do not trust its outputs?","Retrain with more data","Investigate explainability and involve stakeholders in validating results","Deploy anyway since accuracy is high","Reduce the number of features","B","Trust is not a function of accuracy alone. Explaining behaviour and involving stakeholders in validation addresses the actual barrier to adoption.","AI Project Management","Stakeholder Management","MEDIUM","Starter set"
CPMAI-016,"What does model operationalisation mean?","Writing the project charter","Integrating a trained model into business processes and systems so it delivers ongoing value","Collecting training data","Selecting an algorithm","B","Operationalisation covers deployment, integration, monitoring and maintenance - turning a model from an experiment into a working part of the business.","AI Deployment","Operationalisation","MEDIUM","Starter set"
CPMAI-017,"Why is a baseline model established early in an AI project?","To satisfy documentation requirements","To provide a simple reference point that more complex models must beat to justify their cost","To reduce data storage needs","To select the project manager","B","A simple baseline shows what performance is achievable cheaply. If a complex model cannot beat it meaningfully, the added cost and complexity are not justified.","Machine Learning Fundamentals","Baselines","MEDIUM","Starter set"
CPMAI-018,"Which is a leading indicator that an AI project should be stopped?","The team is behind schedule by one week","Data assessment shows the available data cannot answer the business question","The model takes two hours to train","The stakeholders requested a status report","B","If the data fundamentally cannot support the question, no amount of modelling effort will succeed. Recognising this early avoids large sunk costs.","AI Project Management","Go/No-Go Decisions","HARD","Starter set"
CPMAI-019,"What is the purpose of human-in-the-loop design in AI systems?","To reduce infrastructure costs","To keep human judgement involved in consequential decisions rather than fully automating them","To speed up model inference","To eliminate the need for testing","B","Human-in-the-loop keeps a person accountable for high-stakes outcomes, providing oversight where errors would cause significant harm.","Responsible AI & Ethics","Human Oversight","MEDIUM","Starter set"
CPMAI-020,"After deployment, what should trigger model retraining?","A fixed annual schedule only","Monitoring that shows performance degradation or significant data drift","A change in the development team","An increase in user numbers","B","Retraining should be driven by evidence of degradation rather than the calendar alone. Monitoring performance and drift indicates when the model no longer fits current conditions.","Monitoring & Maintenance","Retraining","MEDIUM","Starter set"
